Nom,Commune,X,Y,Distance
JEAN PIERRE CASTELLUCCI,Lecci,9.316519,41.678683,2377.81
JEAN PIERRE LE DEAN,Ghisonaccia,9.408654,42.019512,13243.89
JEAN REMY CASAMATTA,Corte,9.151947,42.304579,14730.92
JEAN RENE PAPI,Penta-di-Casinca,9.505674,42.451789,12930.63
JEAN VALERE GERONIMI,Cervione,9.491351,42.332209,5225.53
JUDY LEQUEUX,Bastia,9.448878,42.698426,9013.22
JULIEN FERRARI,Bastia,9.442448,42.681797,9013.08
JULIEN MARCHESCHI,Ajaccio,8.752233,41.938292,11241.72
KARINE BALLIEU,Bastelicaccia,8.824045,41.923977,14167.54
LAETITIA DELLASANTINA PANZANI,Ajaccio,8.643836,41.91033,11234.76
LAURA FELIX VECCHIO,Porto-Vecchio,9.279168,41.591253,7781.06
LAURA ORSINI SAULI,Bastia,9.442448,42.681797,9013.08
LAURENT DODDOLI,Ajaccio,8.755796,41.939258,11241.95
LAURENT GARRIC,Porto-Vecchio,9.284002,41.5872,7781.58
LAURENT MICAELLI,Grosseto-Prugna,8.807312,41.887065,12763.95
LOUIS ANSALDI,Bastia,9.449437,42.698875,9013.25
LOUIS JULIEN PAOLETTI,Porto-Vecchio,9.279749,41.59115,7781.08
LUCILE BOCHU,Ghisonaccia,9.408654,42.019512,13243.89
MALIKA GALLIOU,Ajaccio,8.746944,41.93585,11241.43
MARC ANTOINE LECCIA,Sarrola-Carcopino,8.833974,41.979592,5052.42
MARC BANDITTINI LANDUCCI,Bastia,9.446985,42.701037,9013.01
MARC BROCHARD,Venaco,9.173926,42.236101,11720.03
MARC CASTELLANI,Valle-di-Campoloro,9.53878,42.330137,10281.55
MARC LAMONICA,Ajaccio,8.755796,41.939258,11241.95
MARIANNE CANALE,Afa,8.79664,41.958979,14864.27
MARIANNE ESTEVE,Bastelicaccia,8.829807,41.919016,14167.0
MARIE ALBERTINI,Corte,9.150856,42.308219,14731.31
MARIE ALBERTINI,Penta-di-Casinca,9.505674,42.451789,12930.63
MARIE ANTOINETT CHIARELLI,Porto-Vecchio,9.276531,41.589147,7781.25
MARIE CHANSON,Ajaccio,8.677897,41.907867,11237.45
MARIE CHRISTINE CIABRINI,Peri,8.86033,41.998097,6413.48
MARIE ELISABETH TORRE,Biguglia,9.433885,42.619305,13811.5
MARIE JEANNE MARIETTI GERVAIS,Corte,9.150478,42.308991,14731.39
MARIE JOSE LUCIANI,Calvi,8.754185,42.55881,7056.46
MARIE JOSE PETRUCCI FEDERICI,Penta-di-Casinca,9.505674,42.451789,12930.63
MARIE LAURE GANDOLFI SCHEIT,Bastia,9.441017,42.679206,9013.02
MARTINE FRATICELLI ANDREI,Aléria,9.51319,42.11541,7695.82
MATHIEU GERONIMI,Vescovato,9.463689,42.498798,9740.59
MATHILDE FERRI PISANI,Ajaccio,8.716967,41.909915,11240.32
MATTHIEU PIAZZA,Porto-Vecchio,9.279154,41.591171,7781.07
MICHEL MIGLIORETTI,Propriano,8.902132,41.674144,5755.08
MICHEL RAFFIN,Vescovato,9.463689,42.498798,9740.59
MICHELE BARD,Cargèse,8.594781,42.134461,4621.71
MICHELLE FOSSE,Petreto-Bicchisano,8.95619,41.775798,12684.97
MIREILLE CAMPANA CASTELLUCCI,Lecci,9.316519,41.678683,2377.81
NADINE CUCCHI,Porto-Vecchio,9.276531,41.589147,7781.25
NATHALIE MONTAZ ROSSET,Ajaccio,8.740339,41.936327,11240.91
NICOLAS DOMINIQ DELAUNAY,Peri,8.86033,41.998097,6413.48
NICOLAS DUPLAN,Poggio-d'Oletta,9.359454,42.641039,9377.3
OLIVIA QUELQUEJAY LECLERE,Porto-Vecchio,9.209485,41.648355,7773.69
OUMAR DIALLO,Aléria,9.487182,42.108137,7695.56
PASCAL CASELLI,Ajaccio,8.759802,41.936854,11242.36
PASCAL DENIS,Ajaccio,8.738974,41.933693,11240.93
PASCAL GHIONGA,Corte,9.150679,42.308182,14731.3
PASCALE DUBOIS VITTORI,Vescovato,9.458677,42.508903,9739.71
PATRICE CHABERT,Bastia,9.442448,42.681797,9013.08
PATRICE CORDOLIANI,Borgo,9.489884,42.604364,12400.37
PATRICK MARCON,Santa-Maria-di-Lota,9.460436,42.743465,6172.49
PAUL ATLAN,Porto-Vecchio,9.279014,41.590462,7781.15
PAUL BEAUDENON,Propriano,8.905268,41.674506,5755.08
PAUL COLOMBANI,Porto-Vecchio,9.27478,41.560933,7784.29
PAUL CUCCHI,Porto-Vecchio,9.276531,41.589147,7781.25
PAUL MARCAGGI,Ajaccio,8.736392,41.92927,11240.93
PAUL ROSSI,Ajaccio,8.738544,41.930457,11241.04
PAUL SIALELLI,Bastia,9.449217,42.702371,9013.15
PAULINE BERTAGNA CASTA,Ajaccio,8.710762,41.909555,11239.87
PHILIPPE AMOROS,Ajaccio,8.74238,41.934262,11241.16
PHILIPPE BARTHEZ,Propriano,8.902313,41.674296,5755.06
PHILIPPE CALENDINI,Prunelli-di-Fiumorbo,9.402241,42.002661,14165.85
PHILIPPE DOSSA,Porto-Vecchio,9.279749,41.59115,7781.08
PHILIPPE MARCHAND,Luri,9.424244,42.896715,9874.54
PHILIPPE MARCHAND,Luri,9.384667,42.898479,9872.36
PIERRE GHIONGA,Corte,9.150679,42.308182,14731.3
PIERRE JEAN MASSIANI,Ajaccio,8.709244,41.910243,11239.72
PIERRE PATRICE,Rogliano,9.451,42.958968,18014.14
RENAUD GARCIN,Borgo,9.442257,42.562348,12396.14
RENE CASANOVA,Ajaccio,8.725344,41.912712,11240.83
ROBERT TARDY,Ajaccio,8.720528,41.910063,11240.59
ROLAND CLEMENT,Alata,8.779122,41.976149,9164.69
ROLAND PIGOTT,Propriano,8.91597,41.669012,5755.82
SANTA ERMINJ ARFI,Bastia,9.435923,42.673935,9012.73
SARAH ELIZABETH GARRON SCHMITT,Bastia,9.428744,42.672293,9012.19
SAUVEUR MERLENGHI,Ajaccio,8.74895,41.93507,11241.62
SOLENNE ROUBELAT,Valle-di-Campoloro,9.533516,42.331036,10281.46
SOPHIE AMBROSI,Borgo,9.495916,42.599083,12399.73
SOPHIE DESERT,Ajaccio,8.746944,41.93585,11241.43
SOPHIE DESNAULT BURLE,Cargèse,8.597462,42.13574,4621.96
STEFANIA BRESCIANI,Sari-Solenzara,9.400272,41.855422,5267.89
STEPHANE PEPE,L'Île-Rousse,8.933763,42.633252,12872.48
TARAS PANKEVYCH,Penta-di-Casinca,9.505674,42.451789,12930.63
THIBAUT ANIEL,Bastia,9.450711,42.698288,9013.37
THIERRY BASTIAN,Propriano,8.902285,41.675684,5754.91
THIERRY POLI,Bastia,9.442427,42.694643,9012.78
VANINA BRUNET GAMET,Bastia,9.448954,42.703863,9013.1
VANINA DECOCK SALDUCCI,Aregno,8.872242,42.605909,14484.38
VIRGILE LELU,Grosseto-Prugna,8.807312,41.887065,12763.95
XAVIER PIERI,Biguglia,9.443916,42.61511,13810.6
XAVIER POLI,Corte,9.150416,42.308336,14731.31
XAVIERE MARIE SANTELLI,Biguglia,9.434135,42.629114,13812.29
YVAN ALI CHERIF,Calvi,8.754625,42.559039,7056.43
YVES CHATELUS,Sartène,8.972976,41.62075,4370.01
YVES VERNIN,Morosaglia,9.20904,42.466532,15621.87
